src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,222.191.168.151,1,1,5,4,288,283,40,68,57.6,10.31,40,127,70.75,34.04,0.03,0.285,0.213,0.106,0.275,0.295,0.284,0.008,0,0,0,0,0,0,0,222.191.168.151,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0
192.168.158.111,78.33.239.134,1,1,3,0,156,0,52,52,52,0,0,0,0,0,1.084,2.006,1.545,0.461,0,0,0,0,0,0,0,0,0,0,-1,78.33.239.134,Omron Corporation,Communication Module:23,Omron,0
192.168.158.111,158.241.25.17,1,1,5,4,288,283,40,68,57.6,10.31,40,127,70.75,34.04,0.001,0.432,0.27,0.162,0.312,0.327,0.32,0.006,0,0,0,0,0,0,0,158.241.25.17,Rockwell Automation/Allen-Bradley,Communication Module:158,Rockwell,0
192.168.158.111,158.145.140.122,1,1,5,4,288,279,40,68,57.6,10.31,40,123,69.75,32.39,0,0.574,0.308,0.204,0.324,0.334,0.328,0.004,0,0,0,0,0,0,0,158.145.140.122,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0
192.168.158.111,158.139.129.219,1,1,5,4,288,271,40,68,57.6,10.31,40,115,67.75,29.12,0.014,0.306,0.224,0.122,0.283,0.31,0.3,0.012,0,0,0,0,0,0,0,158.139.129.219,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0
192.168.158.111,49.57.214.170,1,1,16,8,764,556,40,68,47.75,9.85,40,122,69.5,31.98,0,22.252,3.024,5.908,0.018,0.361,0.216,0.156,0,0,0,0,0,0,0,49.57.214.170,Rockwell Automation/Allen-Bradley,PLC:185,Rockwell,0
192.168.158.111,136.152.132.118,1,1,6,8,340,536,40,68,56.67,9.64,40,128,67,36.37,0,0.971,0.603,0.324,0.075,0.756,0.436,0.24,0,0,0,0,0,0,0,136.152.132.118,Rockwell Automation/Allen-Bradley,PLC:154,Rockwell,0
192.168.158.111,222.191.168.153,1,1,5,4,288,283,40,68,57.6,10.31,40,127,70.75,34.04,0,0.309,0.23,0.133,0.305,0.308,0.307,0.001,0,0,0,0,0,0,0,222.191.168.153,Rockwell Automation/Allen-Bradley,Communication Module:120,Rockwell,0
192.168.158.111,158.139.129.218,1,1,5,4,288,271,40,68,57.6,10.31,40,115,67.75,29.12,0,0.297,0.221,0.127,0.28,0.297,0.29,0.007,0,0,0,0,0,0,0,158.139.129.218,Rockwell Automation/Allen-Bradley,Communication Module:58,Rockwell,0
192.168.158.111,158.241.24.25,1,1,5,4,288,280,40,68,57.6,10.31,40,124,70,32.8,0,0.467,0.273,0.17,0.284,0.326,0.303,0.017,0,0,0,0,0,0,0,158.241.24.25,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,0
