ip_addr,src_port,corporation,vendor,device_type,product_code,product_name,revision
78.33.239.134,44818,Omron,Omron Corporation,Communication Module,23,CJ2M-EIP21,2.3
158.241.25.17,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
222.191.168.151,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.34
136.152.132.118,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
49.57.214.170,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/9.00,2.9
158.145.140.122,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/11.00,2.11
158.139.129.219,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
222.191.168.153,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.34
158.139.129.218,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
158.145.140.120,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/11.00,2.11
158.241.24.25,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
78.35.22.213,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,15.4
222.191.168.158,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.24
158.139.129.217,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,200,1756-EN2TR/B,5.8
158.241.24.21,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
136.152.132.132,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,107,1769-L33ER/A LOGIX5333ER,30.11
158.145.158.2,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16DWD B/11.00,2.11
78.35.20.251,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,15.4
222.191.168.190,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.34
158.139.129.209,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
158.241.24.15,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
222.191.168.185,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.34
158.164.206.147,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
78.35.20.248,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,15.4
158.139.129.211,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,3.6
222.191.168.176,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.34
49.57.214.219,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/16.00,2.16
158.241.29.26,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
136.152.134.252,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
78.35.20.242,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,15.4
158.139.129.208,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
222.191.168.183,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.24
158.241.24.8,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
136.152.132.41,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,152,1769-L19ER-BB1B/A LOGIX5319ER,28.12
78.35.20.244,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,15.4
158.139.129.212,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
222.191.168.216,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.34
158.241.24.0,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
158.145.116.145,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXB C/21.02,2.21
158.139.129.214,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
222.191.168.124,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.34
78.35.20.241,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,15.4
158.241.29.22,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
136.152.132.80,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
158.145.111.216,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA C/21.02,2.21
222.191.167.108,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,13.34
158.241.31.156,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
34.73.83.202,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,16.21
49.57.214.217,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/9.00,2.9
78.35.20.247,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,20.12
158.145.216.32,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/16.00,2.16
158.241.31.154,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,19.15
136.152.132.154,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,154,1769-L18ER/B LOGIX5318ER,26.13
78.35.20.246,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,158,1769-L32E Ethernet Port,20.12
109.177.73.154,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA B/13.00,2.13
158.145.216.33,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16AWA B/12.00,2.12
158.241.56.104,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
158.241.61.233,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
136.152.102.73,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWA B/13.00,2.13
158.139.129.227,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,3.2
158.241.61.255,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
136.151.192.28,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/11.00,2.11
158.139.129.225,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,3.2
221.241.99.205,44818,Omron,Omron Corporation,Communication Module,23,CJ2M-EIP21,2.3
158.241.61.122,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,176,1747-L551/C C/11 - DC 3.46 ,3.11
158.139.129.224,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
49.57.214.224,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/9.00,2.9
136.29.162.70,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA B/14.00,2.14
221.251.11.67,44818,Omron,Omron Corporation,Communication Module,11,CJ1W-EIP21,3.2
158.139.129.228,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,4.3
136.25.83.72,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXB B/15.00,2.15
158.145.216.28,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
221.251.11.68,44818,Omron,Omron Corporation,Communication Module,11,CJ1W-EIP21,3.3
158.139.129.230,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
221.251.11.60,44818,Omron,Omron Corporation,Communication Module,11,CJ1W-EIP21,3.3
136.24.33.123,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA B/14.00,2.14
158.145.168.32,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,176,1747-L551/C C/13 - DC 3.54 ,3.13
158.139.129.231,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
220.45.73.244,44818,Keyence,Keyence Corporation,Communication Module,107,KV-7500,1.1
158.139.129.232,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,58,1756-ENBT/A,6.4
158.139.143.106,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA C/21.02,2.21
49.57.214.225,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BWA B/9.00,2.9
158.241.74.116,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
61.130.19.46,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BWAA C/21.02,2.21
126.229.54.2,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/C,4.3
158.139.173.219,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,178,1769-L36ERMS/B LOGIX5370SAFETY,32.13
126.229.54.1,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,166,1756-EN2T/C,4.3
158.241.124.198,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/15.00,2.15
78.35.20.227,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,185,1763-L16BBB B/11.00,2.11
158.139.249.114,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA C/21.02,2.21
158.241.209.27,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32AWA B/13.00,2.13
158.144.21.226,44818,Rockwell,Rockwell Automation/Allen-Bradley,Communication Module,120,1769-L35E Ethernet Port,20.12
158.139.228.119,44818,Rockwell,Rockwell Automation/Allen-Bradley,PLC,90,1766-L32BXBA C/21.02,2.21
