Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision,Recall,F1-score,kappa,tra-Time,test-Time,Al-Time
sult_1,0,1,RF,0.273983662613982,0.174942314780847,0.309441161873894,0.273983662613982,0.241349090978437,0.245756230688724,8.813995122909546,1.510588884353638,0
sult_1,1,2,RF,0.274031155015198,0.175035824054319,0.312206849301078,0.274031155015198,0.241147849857246,0.245799016585347,8.829317331314087,1.564327001571655,0
sult_1,2,3,RF,0.275645896656535,0.17584134463379,0.311197245694939,0.275645896656535,0.242705888257725,0.247455953806551,8.772420406341553,1.516967296600342,0
sult_1,3,4,RF,0.273651215805471,0.174770048269781,0.3098210791979,0.273651215805471,0.240986765107479,0.24541964255531,8.802684783935547,1.502336502075195,0
sult_1,4,5,RF,0.273793693009119,0.174827920265828,0.309178153466653,0.273793693009119,0.241213100754642,0.245564056543041,9.16714859008789,1.597213983535766,0
sult_1,5,6,RF,0.274648556231003,0.175371709877411,0.312413036631243,0.274648556231003,0.242065090269713,0.246413315203133,8.994020700454712,1.580007553100586,0
sult_1,6,7,RF,0.275835866261398,0.175931052470166,0.3112629614262,0.275835866261398,0.242925111097265,0.247662536795069,8.588767528533936,1.510549783706665,0
sult_1,7,8,RF,0.274031155015198,0.174486509554063,0.309096716314379,0.274031155015198,0.241368966545331,0.245797929708835,8.719856977462769,1.540923118591308,0
sult_1,8,9,RF,0.274411094224924,0.175173668323821,0.310065463546476,0.274411094224924,0.241748260427226,0.246190534107883,9.066512107849123,1.550241947174072,0
sult_1,9,10,RF,0.274316109422492,0.174643875846596,0.30909163746837,0.274316109422492,0.241609209471261,0.246089924135157,8.73082709312439,1.517567157745361,0
