Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision,Recall,F1-score,kappa,tra-Time,test-Time,Al-Time
sult_1,0,1,RF,0.977254557083466,0.695790991250753,0.977390760927711,0.977254557083466,0.975187373622555,0.729762621340376,4.542223691940308,0.381717681884766,0
sult_1,1,2,RF,0.977254557083466,0.695790991250753,0.977390760927711,0.977254557083466,0.975187373622555,0.729762621340376,4.365532159805298,0.436686038970947,0
sult_1,2,3,RF,0.977254557083466,0.695790991250753,0.977429156243392,0.977254557083466,0.97520694085098,0.7298841700395,4.460489749908448,0.376240730285644,0
sult_1,3,4,RF,0.977254557083466,0.695790991250753,0.977390760927711,0.977254557083466,0.975187373622555,0.729762621340376,4.363985538482666,0.364196538925171,0
sult_1,4,5,RF,0.977254557083466,0.695790991250753,0.977390760927711,0.977254557083466,0.975187373622555,0.729762621340376,4.722600936889648,0.37481427192688,0
sult_1,5,6,RF,0.977254557083466,0.695790991250753,0.97758276929558,0.977254557083466,0.975285217941884,0.730369273384219,4.352505445480346,0.369491815567017,0
sult_1,6,7,RF,0.977254557083466,0.695790991250753,0.977390760927711,0.977254557083466,0.975187373622555,0.729762621340376,4.108211517333984,0.359274864196777,0
sult_1,7,8,RF,0.977254557083466,0.695790991250753,0.977390760927711,0.977254557083466,0.975187373622555,0.729762621340376,4.212590217590332,0.359348297119141,0
sult_1,8,9,RF,0.977254557083466,0.695790991250753,0.977390760927711,0.977254557083466,0.975187373622555,0.729762621340376,4.201207160949707,0.36487889289856,0
sult_1,9,10,RF,0.977254557083466,0.695790991250753,0.977429156243392,0.977254557083466,0.97520694085098,0.7298841700395,4.576998710632324,0.406429290771484,0
