,precision,recall,f1-score,support
1,1.0,0.6422897196261682,0.7817713772337719,428.0
3,0.5839130293952762,0.8176077717061323,0.681270286853479,1647.0
7,1.0,0.32500000000000007,0.4865027319119778,120.0
8,1.0,0.5599999999999999,0.7166666666666667,130.0
9,1.0,0.45294117647058824,0.6188968456267151,85.0
10,1.0,0.32500000000000007,0.4905660377358491,120.0
13,0.0,0.0,0.0,0.0
16,1.0,0.5909090909090909,0.7414221645863728,121.0
24,1.0,0.6352112676056337,0.7763774827585264,284.0
30,0.9940630083964251,0.25657741559953434,0.4076069583935156,1718.0
33,1.0,0.5870748299319728,0.7397078742175204,294.0
36,0.4946225360917292,0.9738472753781666,0.6560338579061392,5487.0
37,0.0,0.0,0.0,352.0
38,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,52.0
42,0.0,0.0,0.0,149.0
44,1.0,0.7298245614035087,0.8433306909379533,285.0
46,1.0,0.40625,0.5777777777777776,224.0
49,1.0,0.5237704918032786,0.6838682621539887,122.0
50,0.5763557276751599,1.0,0.7312245687060663,422.0
53,0.8400726034035815,0.9393333333333332,0.8866193036250294,150.0
60,1.0,0.1095890410958904,0.19753086419753085,146.0
61,0.0,0.0,0.0,137.0
62,0.7252016396594172,0.5787037037037036,0.6409638698343364,108.0
63,1.0,0.13274647887323943,0.23412061770237713,568.0
64,0.9228322144660188,0.802139037433155,0.8582542152039473,1496.0
65,0.7049865512702042,0.3587326120556414,0.4752660035274558,647.0
66,0.6631999576585159,0.8604026845637585,0.7488393387028403,149.0
67,0.7222222222222222,0.051587301587301584,0.0962962962962963,252.0
69,0.0,0.0,0.0,0.0
70,0.4338259844009886,1.0,0.6050204499283204,142.0
71,0.0,0.0,0.0,135.0
72,0.5986394557823129,0.09386281588447654,0.1620330822396521,277.0
74,0.3884133543224453,0.253968253968254,0.3070916538658474,378.0
76,1.0,0.29490740740740745,0.45484685863681085,432.0
77,0.0,0.0,0.0,0.0
78,1.0,0.8389006342494716,0.9123351673848192,473.0
81,0.8007741005872614,0.6561497326203208,0.7211837172803883,374.0
82,0.9935232511134553,0.6373161764705884,0.7764785133023983,2176.0
83,0.0,0.0,0.0,132.0
84,1.0,0.3987096774193548,0.5693843830214147,465.0
86,0.0,0.0,0.0,123.0
accuracy,0.6383846153846153,0.6383846153846153,0.6383846153846153,0.6383846153846153
macro avg,0.6372460423538088,0.4056919774457254,0.4477641649638652,20800.0
weighted avg,0.7250575244357794,0.6383846153846153,0.6009322353334584,20800.0
