Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision,Recall,F1-score,kappa,tra-Time,test-Time,Al-Time
sult_1,0,1,RF,0.568990384615385,0.39226455950537,0.667935360864816,0.568990384615385,0.551924677495283,0.485619249659631,11.364856004714966,2.386934041976928,0
sult_1,1,2,RF,0.569278846153846,0.389809309162834,0.668477626886528,0.569278846153846,0.552127844911817,0.485965106985785,11.415680885314941,2.403447151184082,0
sult_1,2,3,RF,0.569519230769231,0.391960324882566,0.669418973811804,0.569519230769231,0.55276466111001,0.486295714517147,11.226609230041504,2.497291803359986,0
sult_1,3,4,RF,0.568605769230769,0.390366935379342,0.667875355903418,0.568605769230769,0.551480352148049,0.485157764733911,11.481887817382812,2.435114622116089,0
sult_1,4,5,RF,0.568894230769231,0.391948140331393,0.66794842920741,0.568894230769231,0.552009402104047,0.485511523074001,8.608896493911743,1.337973356246948,0
sult_1,5,6,RF,0.568701923076923,0.391188497155142,0.668477766671708,0.568701923076923,0.551780205218501,0.485209634315179,11.245975017547607,2.405750513076782,0
sult_1,6,7,RF,0.569375,0.391824507149941,0.668369080442368,0.569375,0.552564291222769,0.486119138055447,11.058852434158325,2.381784677505493,0
sult_1,7,8,RF,0.569951923076923,0.392033623493185,0.669198615862455,0.569951923076923,0.553152524704807,0.486869421605178,10.855345964431763,2.396311521530152,0
sult_1,8,9,RF,0.568653846153846,0.391319229934945,0.66819689499104,0.568653846153846,0.55173852498878,0.485163197130432,11.0746910572052,2.368290424346924,0
sult_1,9,10,RF,0.569038461538462,0.389914564583815,0.668990238794422,0.569038461538462,0.551894392910073,0.485588727841384,11.06201958656311,2.38070797920227,0
