,precision,recall,f1-score,support
0,0.9959319424956714,0.6224343675417663,0.7660824080332262,1257.0
1,0.0,0.0,0.0,0.0
3,0.8975863156111403,0.4974874371859296,0.640158275202311,398.0
4,0.9149722735674677,0.5316863587540279,0.6725543478260869,1862.0
5,0.0,0.0,0.0,131.0
6,0.0,0.0,0.0,0.0
7,0.994446255036539,0.45565610859728506,0.624956197965419,1768.0
8,0.8281511494896913,0.4839650145772595,0.6109111882436454,686.0
10,0.8637100234818673,0.9897610921501707,0.9224492425992901,18752.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
accuracy,0.8718113784501489,0.8718113784501489,0.8718113784501489,0.8718113784501489
macro avg,0.4995270872438525,0.3255445798914945,0.3851919690790889,24854.0
weighted avg,0.8785461980566277,0.8718113784501489,0.856675810993818,24854.0
