,precision,recall,f1-score,support
0,1.0,0.7762132060461415,0.8740015792062061,1257.0
1,0.0,0.0,0.0,0.0
3,1.0,0.5402010050251257,0.7014681892332789,398.0
4,0.9825035975587137,0.586734693877551,0.7346976981566066,1862.0
5,0.0,0.0,0.0,131.0
7,1.0,0.4005090497737556,0.5719359667163901,1768.0
8,1.0,0.5392128279883381,0.700617276280874,686.0
10,0.8723096503662637,0.998266851535836,0.9310474553269108,18752.0
12,0.0,0.0,0.0,0.0
accuracy,0.8884163514927176,0.8884163514927176,0.8884163514927176,0.8884163514927176
macro avg,0.6830468491638012,0.44816854589888183,0.5266280578213676,24854.0
weighted avg,0.8970778249908467,0.8884163514927176,0.8729628857052439,24854.0
