Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision,Recall,F1-score,kappa,tra-Time,test-Time,Al-Time
sult_1,0,1,RF,0.871932083366862,0.511730082257425,0.878783021064949,0.871932083366862,0.85689892845189,0.623506472131966,5.251270055770874,0.427906274795532,0
sult_1,1,2,RF,0.871771143477911,0.511421851776881,0.878635294424732,0.871771143477911,0.856730038506268,0.622907546056287,5.134903192520142,0.449671030044556,0
sult_1,2,3,RF,0.871730908505673,0.511468495238034,0.879098190067734,0.871730908505673,0.856877244222455,0.62306841749122,5.189929246902466,0.432026863098144,0
sult_1,3,4,RF,0.871730908505673,0.511669123566958,0.878081258589065,0.871730908505673,0.856377061310601,0.622218007403396,5.179064035415649,0.433738708496094,0
sult_1,4,5,RF,0.871730908505673,0.511468495238034,0.878605713582724,0.871730908505673,0.856631702879994,0.622659971408194,5.094459056854248,0.426048278808594,0
sult_1,5,6,RF,0.871730908505673,0.511468495238034,0.878046436030108,0.871730908505673,0.856353486790741,0.622213516896787,5.563292980194092,0.435527563095093,0
sult_1,6,7,RF,0.871932083366862,0.512108471399843,0.879089512544287,0.871932083366862,0.857063876166638,0.623786222692558,5.049638509750366,0.424126625061035,0
sult_1,7,8,RF,0.871891848394625,0.511498968178063,0.878070218209519,0.871891848394625,0.856444587759126,0.622524760515781,4.953147411346436,0.42029857635498,0
sult_1,8,9,RF,0.871891848394625,0.511444706481903,0.879095283305134,0.871891848394625,0.856974963618515,0.623434920584496,4.906295776367188,0.434335708618164,0
sult_1,9,10,RF,0.871771143477911,0.511421851776881,0.877957052748025,0.871771143477911,0.85640622023195,0.622361745015962,4.999662160873413,0.416692495346069,0
