src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code,new_label,new_label_code
192.168.158.111,194.105.77.90,1,1,4,4,191,177,40,60,47.75,8.38,40,49,44.25,4.26,0.0,0.291,0.189,0.134,0.0,0.291,0.187,0.132,1,0,0,0,0,0,0.0,194.105.77.90,Rockwell Automation/Allen-Bradley,PLC:180,Rockwell,8,Rockwell Automation/Allen-Bradley:PLC:180,10
192.168.158.111,44.158.192.199,1,1,5,4,242,216,40,60,48.4,7.61,40,92,54.0,22.0,0.0,0.89,0.341,0.37,0.059,0.894,0.472,0.341,1,0,0,0,0,0,0.0,44.158.192.199,Schneider Electric,PLC:TM221CE40T,Schneider,10,Schneider Electric:PLC:TM221CE40T,43
192.168.158.111,95.246.159.81,1,1,5,6,231,300,40,60,46.2,8.11,40,96,50.0,20.62,0.0,0.27,0.202,0.116,0.001,0.267,0.16,0.128,1,0,0,0,0,0,0.0,95.246.159.81,Schneider Electric,PLC:BMX P34 2020,Schneider,10,Schneider Electric:PLC:BMX P34 2020,32
192.168.158.111,104.147.235.121,1,1,5,4,279,369,52,63,55.8,4.75,52,205,92.25,65.18,0.0,0.263,0.195,0.112,0.009,0.262,0.175,0.117,1,0,0,0,0,0,0.0,104.147.235.121,Schneider Electric,HMI:HMIS5T,Schneider,10,Schneider Electric:HMI:HMIS5T,23
192.168.158.111,44.158.195.50,1,1,4,4,191,216,40,60,47.75,8.38,40,92,54.0,22.0,0.0,0.33,0.219,0.155,0.0,0.33,0.217,0.153,1,0,0,0,0,0,0.0,44.158.195.50,Schneider Electric,PLC:TM221CE40R,Schneider,10,Schneider Electric:PLC:TM221CE40R,42
192.168.158.111,95.246.157.62,1,1,4,5,191,256,40,60,47.75,8.38,40,92,51.2,20.46,0.0,0.265,0.174,0.123,0.0,0.256,0.127,0.124,1,0,0,0,0,0,0.0,95.246.157.62,Schneider Electric,PLC:TM221CE40T,Schneider,10,Schneider Electric:PLC:TM221CE40T,43
192.168.158.111,104.147.235.122,1,1,4,4,191,216,40,60,47.75,8.38,40,92,54.0,22.0,0.0,0.256,0.17,0.12,0.0,0.256,0.17,0.12,1,0,0,0,0,0,0.0,104.147.235.122,Schneider Electric,PLC:TM221CE24R,Schneider,10,Schneider Electric:PLC:TM221CE24R,40
192.168.158.111,93.171.48.147,1,1,5,5,231,259,40,60,46.2,8.11,40,95,51.8,21.66,0.0,0.271,0.203,0.117,0.0,0.271,0.136,0.135,1,0,0,0,0,0,0.0,93.171.48.147,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10,Schneider Electric:Communication Module:BMX NOE 0100,16
192.168.158.111,95.246.128.152,1,1,5,6,231,300,40,60,46.2,8.11,40,96,50.0,20.62,0.0,0.719,0.503,0.292,0.001,0.65,0.362,0.298,1,0,0,0,0,0,0.0,95.246.128.152,Schneider Electric,PLC:BMX P34 2020,Schneider,10,Schneider Electric:PLC:BMX P34 2020,32
192.168.158.111,44.158.205.238,1,1,4,4,191,216,40,60,47.75,8.38,40,92,54.0,22.0,0.0,0.553,0.361,0.255,0.0,0.553,0.36,0.255,1,0,0,0,0,0,0.0,44.158.205.238,Schneider Electric,PLC:TM221CE40R,Schneider,10,Schneider Electric:PLC:TM221CE40R,42
192.168.158.111,1.41.89.209,1,1,4,4,191,216,40,60,47.75,8.38,40,92,54.0,22.0,0.0,0.488,0.271,0.203,0.0,0.488,0.267,0.202,1,0,0,0,0,0,0.0,1.41.89.209,Schneider Electric,PLC:TM221CE24R,Schneider,10,Schneider Electric:PLC:TM221CE24R,40
192.168.158.111,93.171.48.148,1,1,5,5,231,259,40,60,46.2,8.11,40,95,51.8,21.66,0.0,0.275,0.204,0.118,0.0,0.275,0.136,0.136,1,0,0,0,0,0,0.0,93.171.48.148,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10,Schneider Electric:Communication Module:BMX NOE 0100,16
192.168.158.111,1.41.88.60,1,1,4,4,191,216,40,60,47.75,8.38,40,92,54.0,22.0,0.0,0.328,0.219,0.154,0.009,0.327,0.218,0.148,1,0,0,0,0,0,0.0,1.41.88.60,Schneider Electric,PLC:TM221CE24T,Schneider,10,Schneider Electric:PLC:TM221CE24T,41
192.168.158.111,193.136.71.34,1,1,5,6,231,296,40,60,46.2,8.11,40,96,49.33,20.87,0.0,0.32,0.225,0.131,0.002,0.32,0.178,0.141,1,0,0,0,0,0,0.0,193.136.71.34,Schneider Electric,PLC:BMX P34 2020,Schneider,10,Schneider Electric:PLC:BMX P34 2020,32
192.168.158.111,1.41.94.235,1,1,5,6,231,300,40,60,46.2,8.11,40,96,50.0,20.62,0.0,0.366,0.262,0.152,0.002,0.366,0.208,0.167,1,0,0,0,0,0,0.0,1.41.94.235,Schneider Electric,PLC:BMX P34 2020,Schneider,10,Schneider Electric:PLC:BMX P34 2020,32
192.168.158.111,82.217.214.37,1,1,5,6,231,299,40,60,46.2,8.11,40,95,49.83,20.25,0.0,0.415,0.308,0.178,0.001,0.415,0.246,0.2,1,0,0,0,0,0,0.0,82.217.214.37,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10,Schneider Electric:Communication Module:BMX NOE 0100,16
192.168.158.111,140.25.161.239,1,1,3,0,180,0,60,60,60.0,0.0,0,0,0.0,0.0,1.001,2.012,1.507,0.506,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-1.0,140.25.161.239,Ulusoy Elektrik,RTU:UE-RTU32,Eaton,4,Ulusoy Elektrik:RTU:UE-RTU32,82
192.168.158.111,158.133.69.209,1,1,5,4,231,173,40,60,46.2,8.11,40,49,43.25,3.7,0.0,1.02,0.413,0.373,0.32,0.68,0.447,0.165,1,0,0,0,0,0,0.679961,158.133.69.209,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,8,Rockwell Automation/Allen-Bradley:PLC:90,11
192.168.158.111,191.192.69.146,1,1,4,3,191,229,40,60,47.75,8.38,40,145,76.33,48.58,0.0,0.214,0.137,0.097,0.197,0.214,0.205,0.008,1,0,0,0,0,0,0.0,191.192.69.146,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10,TELEMECANIQUE:PLC:TWDLCAE40DRF,77
