src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,4.137.162.209,1,1,4,3,191,148,40,60,47.75,8.38,40,64,49.33,10.5,0.0,0.334,0.222,0.157,0.333,0.334,0.334,0.0,1,0,0,0,0,0,0.0,4.137.162.209,AB Regin,:,Regin,7
192.168.158.111,44.158.192.199,1,1,5,4,242,216,40,60,48.4,7.61,40,92,54.0,22.0,0.0,0.89,0.341,0.37,0.059,0.894,0.472,0.341,1,0,0,0,0,0,0.0,44.158.192.199,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,1.41.99.23,1,1,5,6,231,300,40,60,46.2,8.11,40,96,50.0,20.62,0.0,0.335,0.249,0.144,0.0,0.332,0.198,0.161,1,0,0,0,0,0,0.0,1.41.99.23,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,94.27.202.61,1,1,4,3,191,148,40,60,47.75,8.38,40,64,49.33,10.5,0.0,0.311,0.207,0.147,0.311,0.311,0.311,0.0,1,0,0,0,0,0,0.0,94.27.202.61,AB Regin,:,Regin,7
192.168.158.111,121.58.178.117,1,1,4,3,191,230,40,60,47.75,8.38,40,146,76.67,49.05,0.019,0.068,0.042,0.02,0.04,0.087,0.064,0.024,1,0,0,0,0,0,0.0,121.58.178.117,TELEMECANIQUE,PLC:TWDLCAE40DRF,Schneider,10
192.168.158.111,94.27.203.137,1,1,4,3,191,148,40,60,47.75,8.38,40,64,49.33,10.5,0.0,0.312,0.208,0.147,0.312,0.312,0.312,0.0,1,0,0,0,0,0,0.0,94.27.203.137,AB Regin,:,Regin,7
192.168.158.111,4.137.162.213,1,1,4,3,191,148,40,60,47.75,8.38,40,64,49.33,10.5,0.0,0.335,0.223,0.158,0.333,0.335,0.334,0.001,1,0,0,0,0,0,0.0,4.137.162.213,AB Regin,:,Regin,7
192.168.158.111,214.80.216.121,1,1,4,3,191,148,40,60,47.75,8.38,40,64,49.33,10.5,0.0,0.313,0.209,0.147,0.312,0.313,0.312,0.0,1,0,0,0,0,0,0.0,214.80.216.121,AB Regin,:,Regin,7
192.168.158.111,95.246.159.81,1,1,5,6,231,300,40,60,46.2,8.11,40,96,50.0,20.62,0.0,0.27,0.202,0.116,0.001,0.267,0.16,0.128,1,0,0,0,0,0,0.0,95.246.159.81,Schneider Electric,PLC:BMX P34 2020,Schneider,10
192.168.158.111,104.147.235.121,1,1,5,4,279,369,52,63,55.8,4.75,52,205,92.25,65.18,0.0,0.263,0.195,0.112,0.009,0.262,0.175,0.117,1,0,0,0,0,0,0.0,104.147.235.121,Schneider Electric,HMI:HMIS5T,Schneider,10
192.168.158.111,44.158.195.50,1,1,4,4,191,216,40,60,47.75,8.38,40,92,54.0,22.0,0.0,0.33,0.219,0.155,0.0,0.33,0.217,0.153,1,0,0,0,0,0,0.0,44.158.195.50,Schneider Electric,PLC:TM221CE40R,Schneider,10
