ip,port,round,start_time,end_time,response,country
158.139.129.219,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:52,successful,Australia
158.145.140.122,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:52,successful,Australia
158.241.25.17,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:52,successful,Australia
222.191.168.151,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:52,successful,Australia
222.191.168.153,44818,14,2024/7/27 13:58:52,2024/7/27 13:58:53,successful,Australia
158.139.129.218,44818,14,2024/7/27 13:58:52,2024/7/27 13:58:53,successful,Australia
158.241.24.25,44818,14,2024/7/27 13:58:52,2024/7/27 13:58:54,successful,Australia
158.145.140.120,44818,14,2024/7/27 13:58:52,2024/7/27 13:58:54,successful,Australia
136.152.132.118,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:54,successful,Australia
222.191.168.158,44818,14,2024/7/27 13:58:53,2024/7/27 13:58:54,successful,Australia
158.139.129.217,44818,14,2024/7/27 13:58:53,2024/7/27 13:58:54,successful,Australia
158.241.24.21,44818,14,2024/7/27 13:58:54,2024/7/27 13:58:55,successful,Australia
222.191.168.190,44818,14,2024/7/27 13:58:54,2024/7/27 13:58:55,successful,Australia
158.139.129.209,44818,14,2024/7/27 13:58:54,2024/7/27 13:58:55,successful,Australia
158.241.24.15,44818,14,2024/7/27 13:58:55,2024/7/27 13:58:56,successful,Australia
222.191.168.185,44818,14,2024/7/27 13:58:55,2024/7/27 13:58:56,successful,Australia
78.33.239.134,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
158.157.178.207,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
72.214.84.167,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
154.117.194.223,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
158.241.19.69,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
158.164.227.226,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
105.175.193.250,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
81.115.104.13,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
98.181.17.197,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:56,io.netty.channel.ConnectTimeoutException: connection timed out: ,Australia
158.139.129.211,44818,14,2024/7/27 13:58:55,2024/7/27 13:58:56,successful,Australia
136.152.132.132,44818,14,2024/7/27 13:58:54,2024/7/27 13:58:57,successful,Australia
158.241.29.26,44818,14,2024/7/27 13:58:56,2024/7/27 13:58:57,successful,Australia
222.191.168.176,44818,14,2024/7/27 13:58:56,2024/7/27 13:58:57,successful,Australia
16.231.51.255,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:57,java.lang.Exception: EtherNet,Australia
49.57.214.170,44818,14,2024/7/27 13:58:49,2024/7/27 13:58:57,successful,Australia
158.139.129.208,44818,14,2024/7/27 13:58:56,2024/7/27 13:58:58,successful,Australia
