ip,port,round,start_time,end_time,response,country
211.16.183.253,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,Does not matches the function code : 3,China
221.221.60.49,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,Does not matches the function code : 3,China
53.116.153.82,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,ILLEGAL_FUNCTION: Exception Code = 1,China
176.16.69.254,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,ILLEGAL_FUNCTION: Exception Code = 1,China
176.142.68.26,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,ILLEGAL_FUNCTION: Exception Code = 1,China
176.16.71.224,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,ILLEGAL_FUNCTION: Exception Code = 1,China
53.114.93.251,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,ILLEGAL_FUNCTION: Exception Code = 1,China
211.16.183.216,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,Does not matches the function code : 3,China
68.234.85.16,502,3,2023/7/24 10:18:59,2023/7/24 10:18:59,ILLEGAL_FUNCTION: Exception Code = 1,China
104.131.195.198,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
140.135.111.216,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,"6 bytes expected, but 0 received.",China
221.241.187.174,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_DATA_ADDRESS: Exception Code = 2,China
93.119.99.109,503,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
191.171.1.139,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
153.4.66.56,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_DATA_ADDRESS: Exception Code = 2,China
74.139.1.143,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,GATEWAY_TARGET_DEVICE_FAILED_TO_RESPOND: Exception Code = 11,China
215.246.106.193,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
193.136.10.111,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,successful,China
194.105.77.90,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_DATA_VALUE: Exception Code = 3,China
146.207.21.38,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
216.201.187.62,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
110.88.238.145,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
136.73.88.92,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
89.181.52.192,503,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
65.197.229.225,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
84.108.141.209,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
90.198.164.50,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
176.16.75.254,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
94.27.202.61,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,successful,China
211.17.32.205,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,Does not matches the function code : 3,China
88.55.67.229,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
4.137.162.209,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,successful,China
158.133.69.188,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
1.41.99.23,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,successful,China
34.126.51.189,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
214.80.216.139,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
143.175.20.232,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
95.244.154.76,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
176.16.73.221,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
211.17.32.206,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,Does not matches the function code : 3,China
158.136.49.228,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
44.158.243.229,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
220.168.133.217,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,ILLEGAL_DATA_ADDRESS: Exception Code = 2,China
104.131.195.203,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
176.16.75.250,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
68.231.107.138,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
212.136.196.36,502,3,2023/7/24 10:18:59,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
191.171.1.138,502,3,2023/7/24 10:19:00,2023/7/24 10:19:00,ILLEGAL_FUNCTION: Exception Code = 1,China
